Filename,brightness,contrast,Michelson_Contrast,sharpness,Sharpness_Tenengrad,Noise_STD_CenterPatch,noise,Noise_STD_Estimated,quality_class
IS20250115_171841_9465_61003253.dcm,174.6803,49.159847,1.0,82.74192048,17.85988777,26.23379,2.711381276,0.2506662,blurry
IS20250115_190348_9148_86297118.dcm,130.84195,76.73254,1.0,116.6978831,29.18777522,53.58515,3.541837056,0.0,blurry
IS20250115_191316_7227_10120577.dcm,127.7765,72.30087,1.0,101.5143796,26.01496782,74.08104,3.228920619,0.0,blurry
IS20250116_180218_7445_56958340.dcm,116.35364,83.57152,1.0,89.43673516,26.59447044,86.07196,3.174528122,0.0,blurry
IS20250218_193552_3393_78829426.dcm,175.43419,50.173656,1.0,175.6981204,30.25054652,33.575405,4.061995824,0.0,noisy
IS20250218_193621_8940_10081171.dcm,166.8968,34.42806,1.0,236.9231397,40.48600312,25.08093,4.813602448,0.0,low_contrast
IS20250221_192657_5718_56712676.dcm,142.19972,43.952415,1.0,373.5171667,55.10942426,24.7633,6.409093857,0.0,noisy
R10.rvg,179.77515,37.453518,0.999999761,213.3346948,16.25354893,14.730854,3.420898755,0.0,good
R4.rvg,167.23647,31.058662,1.00000012,114.3630289,12.11867933,26.026749,2.727343877,0.0,low_contrast
R5.rvg,140.13399,42.477985,1.000000239,190.6743386,16.43563727,20.351572,3.338426272,0.0,good
R6.rvg,152.48747,35.30894,1.0,181.1936332,15.98290008,17.681349,3.223050435,0.0,good
R7.rvg,151.4228,29.829449,1.000000239,335.8571459,20.66582136,18.886074,4.26420784,0.0,low_contrast
R9.rvg,190.50923,45.27727,1.0,155.7062393,13.68134171,19.252546,2.94282341,0.0,good
Reference_Output_Quality.jpg,95.950806,66.45915,1.0,127.6235117,39.75496093,45.567837,3.877406438,0.9793029,noisy
,,,,,,,,,good
IS20250218_193621_8940_10081171.dcm,160.02100507666984,36.06147795492288,1.0,224.99519403419723,40.48600312,25.08093,4.8083797316446155,0.0,low_contrast
R7.rvg,161.69430897161484,28.26574591967211,1.000000239,341.4062495227587,20.66582136,18.886074,4.385976183833712,0.0,low_contrast
R10.rvg,180.2467746784967,36.68828991229781,0.999999761,192.32785833841396,16.25354893,14.730854,3.2879352361623693,0.0,good
,,,,,,,,,good
Reference_Output_Quality.jpg,91.10686999262525,66.99206616252202,1.0,127.87367962454796,39.75496093,45.567837,3.8974855983158325,0.9793029,noisy
R6.rvg,151.6942613318194,35.36252671870964,1.0,170.34708292378815,15.98290008,17.681349,3.433248527460198,0.0,good
IS20250116_180218_7445_56958340.dcm,122.58954181977006,83.19098817106627,1.0,85.2488345194571,26.59447044,86.07196,3.461033404337522,0.0,blurry
R10.rvg,175.68684476338694,36.91445942287302,0.999999761,218.7843548587723,16.25354893,14.730854,3.37888045637768,0.0,good
R10.rvg,195.40428281226676,35.803283192111536,0.999999761,232.7133773150304,16.25354893,14.730854,3.7045170588000813,0.0,good
IS20250221_192657_5718_56712676.dcm,144.81889105732853,46.436183435569006,1.0,364.99584349635023,55.10942426,24.7633,6.7129396066880735,0.0,noisy
R10.rvg,173.8589832520894,37.526278998758166,0.999999761,229.21088224599697,16.25354893,14.730854,3.7920723198655897,0.0,good
R6.rvg,144.02742921228207,36.80074337452234,1.0,158.60496767631287,15.98290008,17.681349,3.4453526886775685,0.0,good
R9.rvg,183.63171790308462,47.42338557216152,1.0,152.1580641653357,13.68134171,19.252546,2.812686725135086,0.0,good
Reference_Output_Quality.jpg,107.33239183772547,68.67382893577013,1.0,128.66956202539663,39.75496093,45.567837,3.846484009967387,0.9793029,noisy
IS20250116_180218_7445_56958340.dcm,120.54048939727554,86.40239568420155,1.0,88.67497030613588,26.59447044,86.07196,3.0880720725985946,0.0,blurry
IS20250218_193552_3393_78829426.dcm,177.04764644653352,53.793257417533454,1.0,174.17536950231502,30.25054652,33.575405,4.066758303348579,0.0,noisy
IS20250115_171841_9465_61003253.dcm,176.94597070902847,46.07292818187844,1.0,82.46895180139035,17.85988777,26.23379,2.419044565234425,0.2506662,blurry
IS20250218_193621_8940_10081171.dcm,170.3934367740817,34.62587266542746,1.0,249.18468319853807,40.48600312,25.08093,5.273814267927698,0.0,low_contrast
IS20250116_180218_7445_56958340.dcm,116.24484613508228,90.23687393049872,1.0,86.78836771925432,26.59447044,86.07196,3.265871617719405,0.0,blurry
Reference_Output_Quality.jpg,90.58166324840339,67.25457388545082,1.0,121.5603944947646,39.75496093,45.567837,3.7914494303060913,0.9793029,noisy
IS20250221_192657_5718_56712676.dcm,131.522688777433,43.78829000717132,1.0,361.69052242954143,55.10942426,24.7633,6.191664905735966,0.0,noisy
R5.rvg,138.91033464283004,47.54317066350443,1.000000239,194.93298906746426,16.43563727,20.351572,3.3702595427065845,0.0,good
IS20250218_193621_8940_10081171.dcm,147.85112874897655,32.667702319921254,1.0,222.683798299774,40.48600312,25.08093,4.58338216115877,0.0,low_contrast
IS20250115_191316_7227_10120577.dcm,130.99398179444398,72.81465906217161,1.0,101.19457396215371,26.01496782,74.08104,3.2229293733263495,0.0,blurry
R6.rvg,136.18049128757332,34.195691557922366,1.0,201.57300593089457,15.98290008,17.681349,3.148366507657366,0.0,good
R7.rvg,144.375976544905,28.297737126901225,1.000000239,318.4987059028756,20.66582136,18.886074,4.525532403394653,0.0,low_contrast
R7.rvg,156.11100274531822,29.356340063728084,1.000000239,340.9064504192699,20.66582136,18.886074,4.181049581003059,0.0,low_contrast
IS20250116_180218_7445_56958340.dcm,117.36172100109894,87.74187499361366,1.0,90.4376802851053,26.59447044,86.07196,3.267041370107137,0.0,blurry
IS20250221_192657_5718_56712676.dcm,137.19060205241374,49.41418970209438,1.0,363.02681222408177,55.10942426,24.7633,6.853335453374298,0.0,noisy
R6.rvg,137.68131211930174,34.257008337574874,1.0,182.74452526921934,15.98290008,17.681349,3.397951151044164,0.0,good
IS20250221_192657_5718_56712676.dcm,143.90637397206308,44.38885748713554,1.0,393.17324924520756,55.10942426,24.7633,6.6408700693080505,0.0,noisy
IS20250115_190348_9148_86297118.dcm,130.88494692228264,74.57541429627246,1.0,121.91142072000423,29.18777522,53.58515,3.7489896041601454,0.0,blurry
R4.rvg,164.55317103943904,29.196068852595126,1.00000012,107.11652332005764,12.11867933,26.026749,2.859850782905964,0.0,low_contrast
IS20250218_193621_8940_10081171.dcm,163.31973791542728,30.963186126453117,1.0,240.42850605089137,40.48600312,25.08093,4.823456650691785,0.0,low_contrast
IS20250116_180218_7445_56958340.dcm,121.22812145613564,85.03650000756463,1.0,81.25891313850687,26.59447044,86.07196,3.369675448213586,0.0,blurry
IS20250115_190348_9148_86297118.dcm,131.63170949272973,76.91307946934838,1.0,113.28949894612465,29.18777522,53.58515,3.5986306921811186,0.0,blurry
IS20250115_191316_7227_10120577.dcm,117.8220769095213,74.72983122706239,1.0,100.29867399759976,26.01496782,74.08104,3.1482024554739008,0.0,blurry
IS20250115_190348_9148_86297118.dcm,134.7807241219659,73.85456657944827,1.0,122.6062253786074,29.18777522,53.58515,3.7846596701999076,0.0,blurry
IS20250218_193621_8940_10081171.dcm,165.9903335427234,35.30921407871333,1.0,219.25009740877164,40.48600312,25.08093,5.109557344845034,0.0,low_contrast
R10.rvg,168.29642611829982,39.64672099169066,0.999999761,209.04398439069004,16.25354893,14.730854,3.4332356703695477,0.0,good
